Size_sqft,Price_USD
1022.09,165257.39
1082.34,181118.85
1101.68,167084.92
1137.55,192325.98
1180.91,145105.31
1185.8,178681.44
1232.33,210180.8
1254.23,191837.18
1260.21,182459.4
1296.18,185424.2
1298.2,186317.33
1353.97,158839.41
1390.69,250649.9
1431.57,213836.15
1463.48,178488.84
1478.38,218389.2
1488.15,197947.5
1557.98,212323.93
1563.7,166182.61
1623.98,221325.62
1624.07,206915.66
1682.1,222574.09
1727.3,225156.93
1733.62,247577.93
1739.42,278703.17
1783.93,240232.96
1794.86,196474.86
1798.7,221301.65
1849.36,247767.33
2035.12,273287.79
2085.4,250488.07
2123.74,268060.3
2164.92,229903.78
2168.58,266985.7
2216.97,254145.57
2218.46,273351.26
2243.93,250025.89
2246.84,309754.29
2300.73,299750.44
2301.32,318880.49
2323.59,252576.62
2427.01,261929.72
2433.86,300713.1
2465.45,290680.06
2498.16,301992.22
2554.71,285889.58
2710.16,329545.21
2727.78,312975.3
2760.61,333599.68
2824.28,297043.73
2888.86,349205.49
2975.18,327122.98
2980.71,318853.81
3056.94,335636.84
3080.27,322980.93
3090.93,357165.59
3099.03,351711.02
3170.78,399757.0
3186.84,383355.54
3245.11,355667.47
3369.66,382933.68
3391.6,350393.41
3394.63,339774.17
3404.46,370233.66
3430.18,440172.59
3447.41,402144.16
3493.19,411165.07
3550.23,384505.93
3650.09,392274.23
3736.93,418884.19
3827.43,439005.26
3832.29,420685.11
3852.98,482717.74
3916.03,450264.07
3918.42,470807.36
3927.98,445091.6
4043.14,448179.32
4083.87,436149.01
4085.08,441507.52
4088.98,427974.14
4100.53,445895.69
4140.7,453554.25
4208.79,475494.64
4233.59,472696.09
4261.85,483609.19
4314.95,501832.93
4329.77,469733.05
4452.41,541885.73
4464.7,483513.7
4548.85,528969.5
4579.31,495344.05
4637.28,532526.49
4687.5,520463.77
4758.0,528290.86
4795.54,527693.07
4802.86,522810.54
4862.53,488283.53
4878.34,513070.44
4879.64,546182.72
4947.55,564300.35
